Issue key,Issue id,Resolved
DEVOPS-35,197544,25.06.24 09:52
DEVOPS-3,195322,25.06.24 14:35
DEVOPS-10,195329,03.07.24 12:31
DEVOPS-49,197909,04.07.24 11:17
DEVOPS-53,197996,09.07.24 09:22
DEVOPS-5,195324,09.07.24 09:55
DEVOPS-64,198522,10.07.24 11:30
DEVOPS-63,198521,10.07.24 11:30
DEVOPS-67,198553,11.07.24 09:52
DEVOPS-18,195574,11.07.24 10:50
DEVOPS-4,195323,11.07.24 10:53
DEVOPS-69,198594,15.07.24 15:37
DEVOPS-66,198552,19.07.24 09:47
DEVOPS-70,198595,19.07.24 09:47
DEVOPS-73,198636,22.07.24 08:40
DEVOPS-71,198599,22.07.24 16:28
DEVOPS-72,198600,24.07.24 12:20
DEVOPS-6,195325,24.07.24 12:41
DEVOPS-89,199111,29.07.24 14:44
DEVOPS-75,198662,30.07.24 14:55
