Issue key,Issue id,Resolved
DEVOPS-132,38389,27/Sep/24 12:07 PM
DEVOPS-77,38405,26/Sep/24 10:37 AM
DEVOPS-96,38437,26/Sep/24 10:33 AM
DEVOPS-111,38456,25/Sep/24 9:26 AM
DEVOPS-119,38477,24/Sep/24 2:00 PM
DEVOPS-163,100330,24/Sep/24 1:14 PM
DEVOPS-166,100519,24/Sep/24 12:43 PM
DEVOPS-154,94384,24/Sep/24 12:43 PM
DEVOPS-142,38397,24/Sep/24 10:34 AM
DEVOPS-160,100037,24/Sep/24 10:17 AM
DEVOPS-159,99956,20/Sep/24 11:58 AM
DEVOPS-153,94383,19/Sep/24 4:45 PM
DEVOPS-162,100044,16/Sep/24 10:39 AM
DEVOPS-143,38398,13/Sep/24 8:53 AM
DEVOPS-158,99951,12/Sep/24 1:57 PM
DEVOPS-157,99950,10/Sep/24 12:34 PM
DEVOPS-156,99949,10/Sep/24 12:31 PM
DEVOPS-121,38486,10/Sep/24 12:11 PM
DEVOPS-150,94376,09/Sep/24 1:22 PM
DEVOPS-149,94374,06/Sep/24 1:47 PM
DEVOPS-144,38399,05/Sep/24 3:50 PM
DEVOPS-94,38435,05/Sep/24 11:17 AM
DEVOPS-130,38497,04/Sep/24 12:35 PM
DEVOPS-141,38395,03/Sep/24 1:03 PM
DEVOPS-127,38493,03/Sep/24 12:26 PM
DEVOPS-128,38489,03/Sep/24 9:52 AM
DEVOPS-114,38469,02/Sep/24 3:22 PM
DEVOPS-139,38390,02/Sep/24 2:42 PM
DEVOPS-108,38461,02/Sep/24 1:06 PM
DEVOPS-38,38512,02/Sep/24 9:50 AM
DEVOPS-123,38484,28/Aug/24 2:04 PM
DEVOPS-124,38488,28/Aug/24 2:04 PM
DEVOPS-135,38501,28/Aug/24 12:16 PM
DEVOPS-30,38466,22/Aug/24 11:19 AM
DEVOPS-37,38478,22/Aug/24 11:16 AM
DEVOPS-120,38483,16/Aug/24 10:11 AM
DEVOPS-112,38465,16/Aug/24 10:07 AM
DEVOPS-8,38429,15/Aug/24 12:53 PM
DEVOPS-110,38452,14/Aug/24 3:28 PM
DEVOPS-106,38458,14/Aug/24 3:26 PM
DEVOPS-103,38448,14/Aug/24 3:25 PM
DEVOPS-115,38471,13/Aug/24 1:20 PM
DEVOPS-102,38446,13/Aug/24 12:36 PM
DEVOPS-100,38442,13/Aug/24 10:24 AM
DEVOPS-95,38409,12/Aug/24 4:09 PM
DEVOPS-98,38441,08/Aug/24 3:02 PM
DEVOPS-75,38408,30/Jul/24 2:55 PM
DEVOPS-76,38403,30/Jul/24 2:55 PM
DEVOPS-97,38439,30/Jul/24 12:05 PM
DEVOPS-60,38517,30/Jul/24 11:06 AM
DEVOPS-89,38426,29/Jul/24 2:44 PM
DEVOPS-80,38411,29/Jul/24 2:12 PM
DEVOPS-39,38513,26/Jul/24 9:50 AM
DEVOPS-40,38514,25/Jul/24 9:53 AM
DEVOPS-6,38427,24/Jul/24 12:41 PM
DEVOPS-72,38400,24/Jul/24 12:20 PM
DEVOPS-85,38419,23/Jul/24 12:08 PM
DEVOPS-71,38516,22/Jul/24 4:28 PM
DEVOPS-73,38401,22/Jul/24 8:40 AM
DEVOPS-70,38510,19/Jul/24 9:47 AM
DEVOPS-66,38502,19/Jul/24 9:47 AM
DEVOPS-69,38507,15/Jul/24 3:37 PM
DEVOPS-4,38418,11/Jul/24 10:53 AM
DEVOPS-18,38451,11/Jul/24 10:50 AM
DEVOPS-67,38504,11/Jul/24 9:52 AM
DEVOPS-63,38491,10/Jul/24 11:30 AM
DEVOPS-64,38496,10/Jul/24 11:30 AM
DEVOPS-68,38519,10/Jul/24 11:24 AM
DEVOPS-5,38425,09/Jul/24 9:55 AM
DEVOPS-53,38485,09/Jul/24 9:22 AM
DEVOPS-49,38476,04/Jul/24 11:17 AM
DEVOPS-10,38449,03/Jul/24 12:31 PM
DEVOPS-36,38472,01/Jul/24 9:50 AM
DEVOPS-3,38423,25/Jun/24 2:35 PM
DEVOPS-35,38468,25/Jun/24 9:52 AM
DEVOPS-28,38460,20/Jun/24 9:10 AM
DEVOPS-14,38453,20/Jun/24 9:10 AM
DEVOPS-23,38462,20/Jun/24 9:10 AM
